/SANDUSKY RIVER NEAR FREMONT/OBSERVED_EDITED/DISCHARGE/01DEC2010/30MIN/USGS/
   Ordinate	   Date / Time  	OBSERVED_EDITED DISCHARGE USGS
-----------------------------------------------------------
Units      	                	CMS                           
Type       	                	INST-VAL                      
1          	31 Dec 10, 24:00	15.47                         
2          	01 Jan 11, 00:30	15.47                         
3          	01 Jan 11, 01:00	15.47                         
4          	01 Jan 11, 01:30	15.47                         
5          	01 Jan 11, 02:00	15.47                         
6          	01 Jan 11, 02:30	15.76                         
7          	01 Jan 11, 03:00	16.29                         
8          	01 Jan 11, 03:30	16.86                         
9          	01 Jan 11, 04:00	17.74                         
10         	01 Jan 11, 04:30	18.62                         
11         	01 Jan 11, 05:00	19.24                         
12         	01 Jan 11, 05:30	19.87                         
13         	01 Jan 11, 06:00	20.52                         
14         	01 Jan 11, 06:30	21.48                         
15         	01 Jan 11, 07:00	22.50                         
16         	01 Jan 11, 07:30	23.55                         
17         	01 Jan 11, 08:00	24.63                         
18         	01 Jan 11, 08:30	25.76                         
19         	01 Jan 11, 09:00	26.89                         
20         	01 Jan 11, 09:30	28.62                         
21         	01 Jan 11, 10:00	30.04                         
22         	01 Jan 11, 10:30	31.74                         
23         	01 Jan 11, 11:00	33.16                         
24         	01 Jan 11, 11:30	34.86                         
25         	01 Jan 11, 12:00	36.27                         
26         	01 Jan 11, 12:30	38.26                         
27         	01 Jan 11, 13:00	39.67                         
28         	01 Jan 11, 13:30	40.81                         
29         	01 Jan 11, 14:00	42.79                         
30         	01 Jan 11, 14:30	44.21                         
31         	01 Jan 11, 15:00	46.19                         
32         	01 Jan 11, 15:30	47.33                         
33         	01 Jan 11, 16:00	48.74                         
34         	01 Jan 11, 16:30	50.16                         
35         	01 Jan 11, 17:00	51.58                         
36         	01 Jan 11, 17:30	53.28                         
37         	01 Jan 11, 18:00	54.98                         
38         	01 Jan 11, 18:30	56.39                         
39         	01 Jan 11, 19:00	58.38                         
40         	01 Jan 11, 19:30	60.08                         
