id	Start	End	PeakTime	PeakFlow_cms	RiseTime_min	DescendTime_min
1	1/2/2011 7:30	1/2/2011 22:30	1/2/2011 14:00	184.77	390	510
2	2/18/2011 0:00	2/21/2011 21:00	2/18/2011 12:30	470.42	750	4830
3	2/28/2011 6:00	3/14/2011 3:00	3/1/2011 5:00	782.15	1380	18600
4	4/5/2011 5:00	4/7/2011 13:00	4/5/2011 17:30	215.66	750	2610
5	4/20/2011 9:00	4/24/2011 2:00	4/21/2011 1:30	249.66	990	4350
6	4/25/2011 19:00	4/29/2011 21:30	4/26/2011 19:00	436.41	1440	4470
7	5/3/2011 8:00	5/7/2011 0:30	5/4/2011 6:00	270.63	1320	3990
8	5/15/2011 7:30	5/17/2011 18:30	5/16/2011 10:00	194.4	1590	1950
9	5/18/2011 8:30	5/20/2011 4:00	5/19/2011 10:00	194.4	1530	1080
10	5/25/2011 22:30	5/30/2011 23:00	5/27/2011 9:30	521.43	2100	5130
11	7/23/2011 7:00	7/28/2011 8:30	7/23/2011 19:00	345.73	720	6570
12	9/24/2011 2:30	9/24/2011 21:30	9/24/2011 10:30	162.1	480	660
13	9/26/2011 12:00	9/29/2011 12:30	9/27/2011 6:30	385.41	1110	3240
14	9/30/2011 0:00	10/1/2011 4:30	9/30/2011 15:00	163.51	900	810
15	10/1/2011 18:00	10/2/2011 6:00	10/2/2011 0:00	144.53	360	360
16	10/20/2011 1:00	10/24/2011 13:00	10/20/2011 19:30	388.24	1110	5370
17	11/15/2011 9:00	11/18/2011 17:00	11/15/2011 23:30	259.58	870	3930
18	11/23/2011 3:00	11/25/2011 14:00	11/23/2011 19:30	283.39	990	2550
19	11/28/2011 7:30	12/4/2011 3:00	11/30/2011 14:30	493.09	3300	5070
20	12/5/2011 13:30	12/10/2011 10:00	12/6/2011 15:30	467.59	1560	5430
21	12/15/2011 19:30	12/17/2011 22:30	12/16/2011 7:00	202.05	690	2370
22	12/21/2011 12:30	12/24/2011 20:30	12/22/2011 4:00	297.56	930	3870
23	1/17/2012 16:00	1/19/2012 6:00	1/18/2012 5:30	241.44	810	1470
24	1/23/2012 20:30	1/26/2012 2:00	1/24/2012 9:30	229.54	780	2430
25	1/27/2012 0:00	1/31/2012 7:00	1/27/2012 23:30	354.23	1410	4770
26	3/1/2012 4:30	3/4/2012 16:00	3/3/2012 12:00	195.82	3330	1680
27	5/9/2012 11:30	5/10/2012 21:30	5/10/2012 6:00	154.16	1110	930
28	10/30/2012 10:00	11/3/2012 7:30	10/31/2012 20:00	260.43	2040	3570
29	1/11/2013 16:30	1/17/2013 10:00	1/14/2013 6:00	436.41	3690	4560
30	1/30/2013 23:00	2/1/2013 21:00	1/31/2013 10:00	196.67	660	2100
31	2/27/2013 6:30	3/2/2013 8:00	2/28/2013 9:30	244	1620	2790
32	3/12/2013 9:00	3/13/2013 4:30	3/12/2013 15:00	147.08	360	810
33	4/11/2013 6:00	4/16/2013 9:00	4/12/2013 23:00	541.27	2460	4920
34	4/25/2013 2:00	4/26/2013 4:00	4/25/2013 11:00	179.38	540	1020
35	7/2/2013 0:30	7/2/2013 18:30	7/2/2013 8:00	187.32	450	630
36	7/9/2013 8:00	7/15/2013 19:00	7/12/2013 0:30	631.95	3870	5430
37	7/28/2013 7:30	7/29/2013 3:00	7/28/2013 16:00	159.26	510	660
38	10/7/2013 16:00	10/9/2013 13:30	10/8/2013 2:00	191.29	600	2130
39	12/22/2013 0:00	12/27/2013 3:00	12/23/2013 1:00	716.97	1500	5880
40	1/13/2014 0:00	1/15/2014 9:00	1/13/2014 0:30	320.23	30	3390
41	3/11/2014 23:00	3/13/2014 16:30	3/12/2014 22:30	157.85	1410	1080
42	3/14/2014 23:30	3/17/2014 1:30	3/15/2014 16:00	221.04	990	2010
43	4/4/2014 0:30	4/7/2014 9:30	4/4/2014 18:00	306.06	1050	3810
44	4/8/2014 7:30	4/10/2014 7:30	4/8/2014 22:30	231.24	900	1980
45	4/15/2014 21:30	4/17/2014 1:30	4/16/2014 4:30	145.94	420	1260
46	4/30/2014 3:30	5/2/2014 19:30	4/30/2014 16:30	203.47	780	3060
47	5/15/2014 22:30	5/17/2014 21:00	5/16/2014 10:30	174.85	720	2070
48	6/25/2014 21:00	6/28/2014 1:30	6/27/2014 5:30	174	1950	1200
49	3/17/2015 23:00	3/18/2015 18:00	3/17/2015 23:30	234.36	30	1110
50	4/9/2015 10:30	4/13/2015 2:00	4/10/2015 12:30	308.89	1560	3690
51	6/1/2015 5:00	6/3/2015 7:00	6/1/2015 16:30	184.2	690	2310
52	6/15/2015 9:30	6/21/2015 8:00	6/18/2015 16:00	379.74	4710	3840
53	6/27/2015 14:00	6/30/2015 19:30	6/28/2015 11:00	368.4	1260	3390
54	7/1/2015 12:00	7/2/2015 0:00	7/1/2015 17:30	134.04	330	390
55	7/9/2015 16:30	7/11/2015 0:00	7/10/2015 1:00	174.85	510	1380
56	7/12/2015 22:00	7/16/2015 7:00	7/13/2015 11:30	371.24	810	4050
57	12/27/2015 17:30	1/1/2016 19:30	12/29/2015 18:30	402.41	2940	4380
58	1/11/2016 8:30	1/11/2016 15:30	1/11/2016 11:30	135.92	180	240
59	2/25/2016 0:30	2/28/2016 0:00	2/25/2016 15:00	264.48	870	3420
60	3/11/2016 3:30	3/13/2016 1:30	3/11/2016 18:00	225.4	870	1890
61	3/13/2016 3:00	3/13/2016 17:30	3/13/2016 3:30	166.5	30	840
62	3/14/2016 8:00	3/18/2016 4:30	3/16/2016 3:30	220.87	2610	2940
63	4/8/2016 2:30	4/10/2016 10:00	4/8/2016 10:00	162.82	450	2880
64	4/12/2016 14:00	4/13/2016 19:30	4/12/2016 22:30	139.6	510	1260
65	5/1/2016 16:30	5/4/2016 8:30	5/2/2016 23:30	258.53	1860	1980
66	5/13/2016 13:00	5/14/2016 7:30	5/13/2016 23:30	149.8	630	480
MEAN				279	1214	2937
min				134	30	240
max				782	4710	18600
stdev				141	958	2537
