A		SANDUSKY RIVER NEAR FREMONT
B		OBSERVED_EDITED
C		DISCHARGE
E		
F		USGS
Units		cms
Type		INST-VAL
1	02Jan2011  0000	73.68
2	02Jan2011  0030	75.66
3	02Jan2011  0100	77.65
4	02Jan2011  0130	80.48
5	02Jan2011  0200	83.03
6	02Jan2011  0230	84.73
7	02Jan2011  0300	89.83
8	02Jan2011  0330	93.80
9	02Jan2011  0400	97.77
10	02Jan2011  0430	101.17
11	02Jan2011  0500	105.70
12	02Jan2011  0530	109.95
13	02Jan2011  0600	117.04
14	02Jan2011  0630	124.69
15	02Jan2011  0700	128.66
16	02Jan2011  0730	132.62
17	02Jan2011  0800	142.26
18	02Jan2011  0830	143.11
19	02Jan2011  0900	142.26
20	02Jan2011  0930	140.28
21	02Jan2011  1000	141.69
22	02Jan2011  1030	144.53
23	02Jan2011  1100	145.94
24	02Jan2011  1130	146.51
25	02Jan2011  1200	152.18
26	02Jan2011  1230	163.51
27	02Jan2011  1300	168.90
28	02Jan2011  1330	184.77
29	02Jan2011  1400	181.08
30	02Jan2011  1430	174.00
31	02Jan2011  1500	167.20
32	02Jan2011  1530	162.95
33	02Jan2011  1600	158.41
34	02Jan2011  1630	149.91
35	02Jan2011  1700	148.49
36	02Jan2011  1730	146.51
37	02Jan2011  1800	144.53
38	02Jan2011  1830	142.26
39	02Jan2011  1900	141.13
40	02Jan2011  1930	139.71
41	02Jan2011  2000	137.44
42	02Jan2011  2030	136.03
43	02Jan2011  2100	134.89
44	02Jan2011  2130	132.62
45	02Jan2011  2200	132.06
46	02Jan2011  2230	130.64
47	02Jan2011  2300	130.07
48	02Jan2011  2330	128.09
49	03Jan2011  0000	127.24
50	03Jan2011  0030	126.11
51	03Jan2011  0100	125.26
52	03Jan2011  0130	124.12
53	03Jan2011  0200	122.71
54	03Jan2011  0230	122.14
55	03Jan2011  0300	120.16
56	03Jan2011  0330	119.59
57	03Jan2011  0400	118.17
58	03Jan2011  0430	117.04
59	03Jan2011  0500	116.19
60	03Jan2011  0530	115.05
61	03Jan2011  0600	114.49
62	03Jan2011  0630	113.92
63	03Jan2011  0700	111.94
64	03Jan2011  0730	111.37
65	03Jan2011  0800	109.95
66	03Jan2011  0830	109.39
67	03Jan2011  0900	108.82
68	03Jan2011  0930	107.69
69	03Jan2011  1000	106.27
70	03Jan2011  1030	105.70
71	03Jan2011  1100	104.57
72	03Jan2011  1130	104.00
73	03Jan2011  1200	103.44
74	03Jan2011  1230	102.87
75	03Jan2011  1300	102.30
76	03Jan2011  1330	101.74
77	03Jan2011  1400	101.17
78	03Jan2011  1430	99.75
79	03Jan2011  1500	98.62
80	03Jan2011  1530	97.77
81	03Jan2011  1600	96.63
82	03Jan2011  1630	96.07
83	03Jan2011  1700	94.93
84	03Jan2011  1730	93.80
85	03Jan2011  1800	92.67
86	03Jan2011  1830	91.53
87	03Jan2011  1900	90.40
88	03Jan2011  1930	89.27
89	03Jan2011  2000	88.42
90	03Jan2011  2030	87.85
91	03Jan2011  2100	86.15
92	03Jan2011  2130	85.30
93	03Jan2011  2200	84.73
94	03Jan2011  2230	83.60
95	03Jan2011  2300	82.47
96	03Jan2011  2330	81.62
97	04Jan2011  0000	81.05
98	04Jan2011  0030	79.91
99	04Jan2011  0100	79.06
100	04Jan2011  0130	78.50
101	04Jan2011  0200	77.65
102	04Jan2011  0230	76.51
103	04Jan2011  0300	75.66
104	04Jan2011  0330	74.53
105	04Jan2011  0400	73.96
106	04Jan2011  0430	73.11
107	04Jan2011  0500	72.26
108	04Jan2011  0530	71.13
109	04Jan2011  0600	70.56
110	04Jan2011  0630	69.71
111	04Jan2011  0700	68.86
112	04Jan2011  0730	68.01
113	04Jan2011  0800	67.45
114	04Jan2011  0830	66.60
115	04Jan2011  0900	65.46
116	04Jan2011  0930	64.61
117	04Jan2011  1000	64.33
118	04Jan2011  1030	63.20
119	04Jan2011  1100	62.34
120	04Jan2011  1130	61.49
121	04Jan2011  1200	61.21
122	04Jan2011  1230	60.08
123	04Jan2011  1300	59.79
124	04Jan2011  1330	58.94
125	04Jan2011  1400	57.81
126	04Jan2011  1430	57.24
127	04Jan2011  1500	56.39
128	04Jan2011  1530	55.26
129	04Jan2011  1600	54.41
130	04Jan2011  1630	53.28
131	04Jan2011  1700	52.43
132	04Jan2011  1730	51.86
133	04Jan2011  1800	51.01
134	04Jan2011  1830	50.16
135	04Jan2011  1900	49.31
136	04Jan2011  1930	48.74
137	04Jan2011  2000	47.89
138	04Jan2011  2030	47.04
139	04Jan2011  2100	46.48
140	04Jan2011  2130	45.63
141	04Jan2011  2200	44.77
142	04Jan2011  2230	43.92
143	04Jan2011  2300	43.36
144	04Jan2011  2330	42.22
145	05Jan2011  0000	41.66
146	05Jan2011  0030	40.81
147	05Jan2011  0100	39.67
148	05Jan2011  0130	39.11
