/SANDUSKY RIVER NEAR FREMONT/OBSERVED_EDITED/DISCHARGE/01DEC2010/30MIN/USGS/
   Ordinate	   Date / Time  	OBSERVED_EDITED DISCHARGE USGS
-----------------------------------------------------------
Units      	                	CMS                           
Type       	                	INST-VAL                      
1          	01 Jan 14, 24:00	0.00                          
2          	02 Jan 14, 00:30	0.00                          
3          	02 Jan 14, 01:00	0.00                          
4          	02 Jan 14, 01:30	0.00                          
5          	02 Jan 14, 02:00	0.00                          
6          	02 Jan 14, 02:30	0.00                          
7          	02 Jan 14, 03:00	0.00                          
8          	02 Jan 14, 03:30	0.00                          
9          	02 Jan 14, 04:00	0.00                          
10         	02 Jan 14, 04:30	0.00                          
11         	02 Jan 14, 05:00	0.00                          
12         	02 Jan 14, 05:30	0.00                          
13         	02 Jan 14, 06:00	0.00                          
14         	02 Jan 14, 06:30	0.00                          
15         	02 Jan 14, 07:00	0.00                          
16         	02 Jan 14, 07:30	0.00                          
17         	02 Jan 14, 08:00	0.00                          
18         	02 Jan 14, 08:30	0.00                          
19         	02 Jan 14, 09:00	0.00                          
20         	02 Jan 14, 09:30	0.00                          
21         	02 Jan 14, 10:00	0.00                          
22         	02 Jan 14, 10:30	0.00                          
23         	02 Jan 14, 11:00	0.00                          
24         	02 Jan 14, 11:30	0.00                          
25         	02 Jan 14, 12:00	0.00                          
26         	02 Jan 14, 12:30	0.00                          
27         	02 Jan 14, 13:00	0.00                          
28         	02 Jan 14, 13:30	0.00                          
29         	02 Jan 14, 14:00	0.00                          
30         	02 Jan 14, 14:30	0.00                          
31         	02 Jan 14, 15:00	0.00                          
32         	02 Jan 14, 15:30	0.00                          
33         	02 Jan 14, 16:00	0.00                          
34         	02 Jan 14, 16:30	0.00                          
35         	02 Jan 14, 17:00	0.00                          
36         	02 Jan 14, 17:30	0.00                          
37         	02 Jan 14, 18:00	0.00                          
38         	02 Jan 14, 18:30	0.00                          
39         	02 Jan 14, 19:00	0.00                          
40         	02 Jan 14, 19:30	0.00                          
